id	filename	md5	size	state
3da0f0e4-e890-4453-b801-9ea2cf375aed	77bb0e45-4c21-47dc-a735-1f9108ec184f.mirnaseq.mirnas.quantification.txt	5cf75bb14a4240af40b1016902f3dde1	50094	released
2eb5dd90-b3fa-4d19-8d51-2e766e439a59	654cc096-0374-4e4a-b49a-0643de0346bf.mirnaseq.mirnas.quantification.txt	379a3359dcd3806e9abf4cc56930ff87	50353	released
f5fa3667-6754-42e8-bcac-713984646832	df888f40-4477-4aa0-8b9d-76d2e471147a.mirnaseq.mirnas.quantification.txt	d1bb70a833131dc537b7aa83cc9aa472	50196	released
0b501c8e-f72d-4265-b9a5-291c10e8c205	d9689fca-aa43-4f74-b11f-8d4225603365.mirnaseq.mirnas.quantification.txt	755623c352d4950adfd1af518c9f4311	50318	released
695a2f7f-6cdc-49c9-82f3-79bce8b409d6	a1c3e028-3665-4f90-b07e-ae12a1b9a578.mirnaseq.mirnas.quantification.txt	5d3ff4b4d373ff4fc6fdf1152d090425	50229	released
6eb61205-cb9e-4de3-875a-82bababab215	901d4ee6-f101-46d8-8b89-ee18bf6646d9.mirnaseq.mirnas.quantification.txt	01e8e48967923abaaa80a748549c5071	50304	released
597a7126-4d2d-4c2c-ad1a-396562f10f74	c7ba0f5d-21ca-443b-a5ee-62d342778a20.mirnaseq.mirnas.quantification.txt	396c28990d30039ae7d9af94acdfeee0	50224	released
7db6eaa3-0e5d-4a1a-915a-201c8cf20d4c	cd671ef7-386c-4cc4-99e0-8e3b3c70e466.mirnaseq.mirnas.quantification.txt	3e9921d068b5684d5aa5e025d784f9cd	50172	released
b9243aa1-f7e4-445f-84d6-1189c63bdf98	1f2d3954-e7ca-4437-823f-3057049fa36b.mirnaseq.mirnas.quantification.txt	b9c8f4613536d25702c1897cd0d79c13	50239	released
3a569a1e-cb9e-47a1-a48f-e34d6626c56e	481b298c-b831-4919-ab18-ab69388667f1.mirnaseq.mirnas.quantification.txt	07b28193b436f7a0a7fe4597b954c6d9	50192	released
05320b42-72a1-4bc8-ba2c-47f5016be300	18d083d4-4f0a-432a-88ee-16b243f6b959.mirnaseq.mirnas.quantification.txt	f5e27735bb85de67e1df4a6a299b846c	50093	released
122559a5-b627-4239-af33-dbe008a7b994	a7f7fd90-e6b6-46fb-81e5-0d400121fb57.mirnaseq.mirnas.quantification.txt	412a894406d0dfbb4ed3a4edf7a62730	50339	released
3231ab41-2643-4054-b4a8-04d94a161cc3	acbecfa7-e597-41db-af79-f479391310db.mirnaseq.mirnas.quantification.txt	4a845ae4f210f4e6326d7500f05b751e	50183	released
b19430c5-d62b-4774-aff3-fb2d2493a30b	c5ba014a-a593-4653-8a0b-b736fdac871c.mirnaseq.mirnas.quantification.txt	c49b86cab8a0d3a12d1649e5db83c574	50120	released
e01b15aa-2268-4d5c-815f-eaeb35ee0f04	42848638-1691-480f-94a7-e60a8aeb3b9a.mirnaseq.mirnas.quantification.txt	93c082a6b3f33b67ff169199776177eb	50350	released
c9482a97-b77f-43d3-b837-966e6fff2ff6	48d2bb9a-32fc-4961-b7c1-ff33d413dd66.mirnaseq.mirnas.quantification.txt	c17bc99882dbb289d6d61331c3e8d1b9	50250	released
fe3e912a-a0bf-49e7-97a3-0df8cc21d751	ae3236f1-a79d-468b-ad86-5b9872b67a24.mirnaseq.mirnas.quantification.txt	39a1220bd872f2a7a28bb965db45a7c5	50207	released
c9a0a3fa-a39a-47b3-a5cb-a89466a04715	09cd23c7-f698-4666-b74d-e939febd20c8.mirnaseq.mirnas.quantification.txt	ce0f79658457059f7a377dd3ca0031c5	50325	released
8e3620f7-5212-4d0a-a186-731065bb0a46	41b384f2-13ea-4d6c-b301-19060e02344e.mirnaseq.mirnas.quantification.txt	da0f1f793284c4fc4f1a8f3c050ffb80	50122	released
ed1c58e9-dacc-40ab-8d02-79c3f4d9c140	7b0c3cc3-6061-460d-8e3d-bb0bf8d39bd2.mirnaseq.mirnas.quantification.txt	6d64ed361706ce025a4026be30a8f5df	50274	released
c9f19b98-3215-4fa2-8213-baf180d75579	f0d018a4-38f6-4a29-9727-ac1511a69de0.mirnaseq.mirnas.quantification.txt	8f5437a667f35e2a1e752eaedb4d3320	50308	released
ad0e9ada-09b8-404d-a5d8-792d6c714eea	f08d92a5-69c3-4a23-a154-79104f006dea.mirnaseq.mirnas.quantification.txt	a4f78104c4340e4fffdd95d46d923e8d	50104	released
459a8224-e7c1-469b-a5ab-48645b9082b3	6b847a6f-ae6d-4ecc-8fc6-b98e1497461a.mirnaseq.mirnas.quantification.txt	5d3aae1dfc35fd19662947678b779484	50126	released
d5598250-bf6f-4660-8b7a-c8b89582befa	c880c11e-9d09-46d9-8f14-19d62a2f460e.mirnaseq.mirnas.quantification.txt	594fc50ac55ab235665cefbe988a81eb	50024	released
72bdcf77-9fea-4fc0-beb3-0dc496dc998f	67c3e5d4-d6d0-4a98-9057-f3f45599f72f.mirnaseq.mirnas.quantification.txt	d2c957516c59bf404eba8d129a013c95	50307	released
d8dc0f06-0bf0-4b8e-8d96-cef42394e51c	3aa92db3-653c-4f35-a152-9959f1cb0432.mirnaseq.mirnas.quantification.txt	b5c964e476d0ff420575e1a457b0dc95	50137	released
68c97fda-f279-47f2-af46-4364dd4c8e5c	524292b4-ed95-4acb-8837-7ebfe7487384.mirnaseq.mirnas.quantification.txt	e6800ebbaeed0d8375de37ec5772953b	50111	released
081588af-9cd7-405e-bbe5-a0c1dc97d5cd	b9945e22-7c0f-40da-bae1-8bcb439b60eb.mirnaseq.mirnas.quantification.txt	fde318579c3d8075ee68f553db88ad85	50187	released
909e3d0d-cffa-45fd-b96b-ba0ac1b65576	9815fe9a-b082-4d0c-9bf2-5807d133aee5.mirnaseq.mirnas.quantification.txt	e9d89f0aee686fd978f03d4dc9b39f59	50361	released
694a91ff-a1dd-4fb3-a222-306a3157befb	6c456a90-2d4b-48b2-bd2b-897d6d45a166.mirnaseq.mirnas.quantification.txt	a1560d8f888043a1907232da4f5df520	50073	released
40c6c137-37c5-41bf-9885-92c262fa9376	5def121c-43ee-4c15-99e8-b29f87f014a0.mirnaseq.mirnas.quantification.txt	8845b87c939a8ca04fb130693fad5e5e	50247	released
7ff0c27b-9e86-4f22-aed7-68d70e3b7f91	7a581a9a-ce93-40cc-ac7f-03bfeab1d487.mirnaseq.mirnas.quantification.txt	c33117e4b22ace653f18d0899588b31a	50457	released
b516ec91-515c-4aa2-83a4-2a01e325d910	7ed872b4-7de0-452d-82c1-007574159234.mirnaseq.mirnas.quantification.txt	65984990d61128aa4179d8ec2c98abab	50193	released
